,State,id,state_code,Year,Population
165,Idaho,13,ID,2013,1611206
166,Illinois,14,IL,2013,12895129
167,Indiana,15,IN,2013,6568713
168,Iowa,16,IA,2013,3092997
169,Kansas,17,KS,2013,2893212
170,Kentucky,18,KY,2013,4404659
171,Louisiana,19,LA,2013,4624527
172,Maine,20,ME,2013,1328009
173,Maryland,21,MD,2013,5923188
174,Massachusetts,22,MA,2013,6713315
175,Michigan,23,MI,2013,9913065
176,Minnesota,24,MN,2013,5413479
177,Mississippi,25,MS,2013,2988711
178,Missouri,26,MO,2013,6040715
179,Montana,27,MT,2013,1013569
180,Nebraska,28,NE,2013,1865279
181,Nevada,29,NV,2013,2775970
182,New Hampshire,30,NH,2013,1326622
183,New Jersey,31,NJ,2013,8856972
184,New Mexico,32,NM,2013,2092273
185,New York,33,NY,2013,19624447
186,North Carolina,34,NC,2013,9843336
187,North Dakota,35,ND,2013,722036
188,Ohio,36,OH,2013,11576684
189,Oklahoma,37,OK,2013,3853214
190,Oregon,38,OR,2013,3922468
191,Pennsylvania,39,PA,2013,12776309
192,Rhode Island,40,RI,2013,1055081
193,South Carolina,41,SC,2013,4764080
194,South Dakota,42,SD,2013,842316
195,Tennessee,43,TN,2013,6494340
196,Texas,44,TX,2013,26480266
197,Utah,45,UT,2013,2897640
198,Vermont,46,VT,2013,626210
199,Virginia,47,VA,2013,8252427
200,Washington,48,WA,2013,6963985
201,West Virginia,49,WV,2013,1853914
202,Wisconsin,50,WI,2013,5736754
203,Wyoming,51,WY,2013,582122
204,Alabama,1,AL,2014,4841799
205,Alaska,2,AK,2014,736283
206,Arizona,3,AZ,2014,6730413
207,Arkansas,4,AR,2014,2967392
208,California,5,CA,2014,38596972
209,Colorado,6,CO,2014,5350101
210,Connecticut,7,CT,2014,3594524
211,Delaware,8,DE,2014,932487
212,District of Columbia,9,DC,2014,662328
213,Florida,10,FL,2014,19845911
214,Georgia,11,GA,2014,10067278
215,Hawaii,12,HI,2014,1414538
216,Idaho,13,ID,2014,1631112
217,Illinois,14,IL,2014,12884493
218,Indiana,15,IN,2014,6593644
219,Iowa,16,IA,2014,3109350
220,Kansas,17,KS,2014,2900475
221,Kentucky,18,KY,2014,4414349
222,Louisiana,19,LA,2014,4644013
223,Maine,20,ME,2014,1330513
224,Maryland,21,MD,2014,5957283
225,Massachusetts,22,MA,2014,6762596
226,Michigan,23,MI,2014,9929848
227,Minnesota,24,MN,2014,5451079
228,Mississippi,25,MS,2014,2990468
229,Missouri,26,MO,2014,6056202
230,Montana,27,MT,2014,1021869
231,Nebraska,28,NE,2014,1879321
232,Nevada,29,NV,2014,2817628
233,New Hampshire,30,NH,2014,1333341
234,New Jersey,31,NJ,2014,8864525
235,New Mexico,32,NM,2014,2089568
236,New York,33,NY,2014,19651049
237,North Carolina,34,NC,2014,9932887
238,North Dakota,35,ND,2014,737401
239,Ohio,36,OH,2014,11602700
240,Oklahoma,37,OK,2014,3878187
241,Oregon,38,OR,2014,3963244
242,Pennsylvania,39,PA,2014,12788313
243,Rhode Island,40,RI,2014,1055936
244,South Carolina,41,SC,2014,4823617
245,South Dakota,42,SD,2014,849129
246,Tennessee,43,TN,2014,6541223
247,Texas,44,TX,2014,26964333
248,Utah,45,UT,2014,2936879
249,Vermont,46,VT,2014,625214
250,Virginia,47,VA,2014,8310993
251,Washington,48,WA,2014,7054655
252,West Virginia,49,WV,2014,1849489
253,Wisconsin,50,WI,2014,5751525
254,Wyoming,51,WY,2014,582531
255,Alabama,1,AL,2015,4852347
256,Alaska,2,AK,2015,737498
257,Arizona,3,AZ,2015,6829676
258,Arkansas,4,AR,2015,2978048
259,California,5,CA,2015,38918045
260,Colorado,6,CO,2015,5450623
261,Connecticut,7,CT,2015,3587122
262,Delaware,8,DE,2015,941252
263,District of Columbia,9,DC,2015,675400
264,Florida,10,FL,2015,20209042
265,Georgia,11,GA,2015,10178447
266,Hawaii,12,HI,2015,1422052
267,Idaho,13,ID,2015,1651059
268,Illinois,14,IL,2015,12858913
269,Indiana,15,IN,2015,6608422
270,Iowa,16,IA,2015,3120960
271,Kansas,17,KS,2015,2909011
272,Kentucky,18,KY,2015,4425976
273,Louisiana,19,LA,2015,4664628
274,Maine,20,ME,2015,1328262
